ts_unix,nid,sats_used,sats_visible,pdop,hdop,vdop,gdop
1755755538.072,124,0,0,0.00,0.70,1.04,0.00
1755755538.264,124,0,0,0.00,0.70,1.04,0.00
1755755538.463,124,0,0,0.00,0.70,1.01,0.00
1755755538.665,124,0,0,0.00,0.70,1.01,0.00
1755755538.864,124,0,0,0.00,0.70,1.01,0.00
1755755539.072,124,0,0,0.00,0.70,1.01,0.00
1755755539.265,124,0,0,0.00,0.70,1.01,0.00
1755755539.464,124,0,0,0.00,0.70,1.01,0.00
1755755539.662,124,0,0,0.00,0.70,1.01,0.00
1755755539.865,124,0,0,0.00,0.70,1.01,0.00
1755755540.072,124,0,0,0.00,0.70,1.01,0.00
1755755540.265,124,0,0,0.00,0.70,1.01,0.00
1755755540.464,124,0,0,0.00,0.70,1.01,0.00
1755755540.665,124,0,0,0.00,0.70,1.01,0.00
1755755540.865,124,0,0,0.00,0.70,1.01,0.00
1755755541.075,124,0,0,0.00,0.73,1.01,0.00
1755755541.266,124,0,0,0.00,0.73,1.01,0.00
1755755541.464,124,0,0,0.00,0.73,1.01,0.00
1755755541.668,124,0,0,0.00,0.73,1.01,0.00
1755755541.866,124,0,0,0.00,0.73,1.01,0.00
1755755542.076,124,0,0,0.00,0.73,1.01,0.00
1755755542.264,124,0,0,0.00,0.73,1.01,0.00
1755755542.466,124,0,0,0.00,0.73,1.01,0.00
1755755542.666,124,0,0,0.00,0.73,1.01,0.00
1755755542.868,124,0,0,0.00,0.73,1.01,0.00
1755755543.077,124,0,0,0.00,0.70,1.00,0.00
1755755543.266,124,0,0,0.00,0.71,1.03,0.00
1755755543.467,124,0,0,0.00,0.70,1.00,0.00
1755755543.664,124,0,0,0.00,0.70,1.00,0.00
1755755543.864,124,0,0,0.00,0.70,1.00,0.00
1755755544.068,124,0,0,0.00,0.70,1.00,0.00
1755755544.266,124,0,0,0.00,0.70,1.00,0.00
1755755544.464,124,0,0,0.00,0.70,1.00,0.00
1755755544.666,124,0,0,0.00,0.70,1.00,0.00
1755755544.865,124,0,0,0.00,0.70,1.00,0.00
1755755545.073,124,0,0,0.00,0.70,1.00,0.00
1755755545.267,124,0,0,0.00,0.70,1.00,0.00
1755755545.465,124,0,0,0.00,0.70,1.00,0.00
1755755545.665,124,0,0,0.00,0.70,1.00,0.00
1755755545.863,124,0,0,0.00,0.81,1.07,0.00
1755755546.071,124,0,0,0.00,0.81,1.07,0.00
1755755546.263,124,0,0,0.00,0.81,1.07,0.00
1755755546.463,124,0,0,0.00,0.81,1.07,0.00
1755755546.663,124,0,0,0.00,0.70,1.00,0.00
1755755546.862,124,0,0,0.00,0.81,1.07,0.00
1755755547.072,124,0,0,0.00,0.81,1.07,0.00
1755755547.263,124,0,0,0.00,0.81,1.07,0.00
1755755547.462,124,0,0,0.00,0.70,1.00,0.00
1755755547.659,124,0,0,0.00,0.70,1.00,0.00
1755755547.863,124,0,0,0.00,0.70,1.00,0.00
1755755548.074,124,0,0,0.00,0.70,1.00,0.00
1755755548.262,124,0,0,0.00,0.81,1.07,0.00
1755755548.460,124,0,0,0.00,0.70,1.00,0.00
1755755548.661,124,0,0,0.00,0.81,1.07,0.00
1755755548.862,124,0,0,0.00,0.70,1.00,0.00
1755755549.069,124,0,0,0.00,0.81,1.07,0.00
1755755549.261,124,0,0,0.00,0.81,1.07,0.00
1755755549.459,124,0,0,0.00,0.81,1.07,0.00
1755755549.663,124,0,0,0.00,0.81,1.07,0.00
1755755549.861,124,0,0,0.00,0.81,1.07,0.00
1755755550.072,124,0,0,0.00,0.81,1.07,0.00
1755755550.260,124,0,0,0.00,0.81,1.07,0.00
1755755550.460,124,0,0,0.00,0.70,1.04,0.00
1755755550.662,124,0,0,0.00,0.70,1.00,0.00
1755755550.862,124,0,0,0.00,0.81,1.07,0.00
1755755551.073,124,0,0,0.00,0.69,1.00,0.00
1755755551.265,124,0,0,0.00,0.81,1.07,0.00
1755755551.465,124,0,0,0.00,0.70,1.04,0.00
1755755551.665,124,0,0,0.00,0.70,1.04,0.00
1755755551.865,124,0,0,0.00,0.70,1.04,0.00
1755755552.068,124,0,0,0.00,0.70,1.04,0.00
1755755552.264,124,0,0,0.00,0.69,1.00,0.00
1755755552.462,124,0,0,0.00,0.69,1.00,0.00
1755755552.662,124,0,0,0.00,0.81,1.07,0.00
1755755552.862,124,0,0,0.00,0.81,1.07,0.00
1755755553.071,124,0,0,0.00,0.81,1.07,0.00
1755755553.263,124,0,0,0.00,0.81,1.07,0.00
1755755553.462,124,0,0,0.00,0.81,1.07,0.00
1755755553.663,124,0,0,0.00,0.81,1.07,0.00
1755755553.859,124,0,0,0.00,0.81,1.07,0.00
1755755554.070,124,0,0,0.00,0.81,1.07,0.00
1755755554.263,124,0,0,0.00,0.81,1.07,0.00
1755755554.462,124,0,0,0.00,0.81,1.07,0.00
1755755554.663,124,0,0,0.00,0.81,1.07,0.00
1755755554.864,124,0,0,0.00,0.81,1.07,0.00
1755755555.071,124,0,0,0.00,0.81,1.07,0.00
